category, name, film, winner, 
ACTRESS, May Robson, Lady for a Day, False, 
ACTRESS, Diana Wynyard, Cavalcade, False, 
ART DIRECTION, William S. Darling, Cavalcade, True, 
ART DIRECTION, "Hans Dreier,  Roland Anderson", A Farewell to Arms, False, 
ART DIRECTION, Cedric Gibbons, When Ladies Meet, False, 
ASSISTANT DIRECTOR, Percy Ikerd (Fox), , False, 
ASSISTANT DIRECTOR, William Tummel (Fox), , True, 
ASSISTANT DIRECTOR, Charles Dorian (Metro-Goldwyn-Mayer), , True, 
ASSISTANT DIRECTOR, Bunny Dull (Metro-Goldwyn-Mayer), , False, 
ASSISTANT DIRECTOR, John S. Waters (Metro-Goldwyn-Mayer), , False, 
ASSISTANT DIRECTOR, Charles Barton (Paramount), , True, 
ASSISTANT DIRECTOR, Sidney S. Brod (Paramount), , False, 
ASSISTANT DIRECTOR, Arthur Jacobson (Paramount), , False, 
ASSISTANT DIRECTOR, Eddie Killey (RKO Radio), , False, 
ASSISTANT DIRECTOR, Dewey Starkey (RKO Radio), , True, 
ASSISTANT DIRECTOR, Fred Fox (United Artists), , True, 
ASSISTANT DIRECTOR, Benjamin Silvey (United Artists), , False, 
ASSISTANT DIRECTOR, Scott Beal (Universal), , True, 
ASSISTANT DIRECTOR, Joe McDonough (Universal), , False, 
ASSISTANT DIRECTOR, W. J. Reiter (Universal), , False, 
ASSISTANT DIRECTOR, Al Alborn (Warner Bros.), , False, 
ASSISTANT DIRECTOR, Gordon Hollingshead (Warner Bros.), , True, 
ASSISTANT DIRECTOR, Frank X. Shaw (Warner Bros.), , False, 
CINEMATOGRAPHY, "Charles Bryant Lang,  Jr.", A Farewell to Arms, True, 
CINEMATOGRAPHY, George J. Folsey, Reunion in Vienna, False, 
CINEMATOGRAPHY, Karl Struss, The Sign of the Cross, False, 
DIRECTING, Frank Lloyd, Cavalcade, True, 
DIRECTING, Frank Capra, Lady for a Day, False, 
DIRECTING, George Cukor, Little Women, False, 
OUTSTANDING PRODUCTION, Fox, Cavalcade, True, 
OUTSTANDING PRODUCTION, Paramount, A Farewell to Arms, False, 
OUTSTANDING PRODUCTION, Warner Bros., 42nd Street, False, 
OUTSTANDING PRODUCTION, Warner Bros., I Am a Fugitive from a Chain Gang, False, 
OUTSTANDING PRODUCTION, Columbia, Lady for a Day, False, 
OUTSTANDING PRODUCTION, RKO Radio, Little Women, False, 
OUTSTANDING PRODUCTION, London Films, The Private Life of Henry VIII, False, 
OUTSTANDING PRODUCTION, Paramount, She Done Him Wrong, False, 
OUTSTANDING PRODUCTION, Metro-Goldwyn-Mayer, Smilin' Through, False, 
OUTSTANDING PRODUCTION, Fox, State Fair, False, 
SHORT SUBJECT (Cartoon), "Walt Disney,  Producer", Building a Building, False, 
SHORT SUBJECT (Cartoon), "Walter Lantz,  Producer", The Merry Old Soul, False, 
SHORT SUBJECT (Cartoon), "Walt Disney,  Producer", The Three Little Pigs, True, 
SHORT SUBJECT (Comedy), "Warren Doane,  Producer", Mister Mugg, False, 
SHORT SUBJECT (Comedy), "Louis Brock,  Producer", A Preferred List, False, 
SHORT SUBJECT (Comedy), "Louis Brock,  Producer", So This Is Harris, True, 
SHORT SUBJECT (Novelty), "Joe Rock,  Producer", Krakatoa, True, 
